rank,eid,probe,date,t_start,t_end,Dn_mem,EB_mem,n_near,beta_near,T_near,T_bg,n_mem,bz,cone,sza,dp
33,2022-01-27_thd,thd,2022-01-27,2022-01-27T12:07:01Z,2022-01-27T18:06:59Z,0.671,3.681,14.62,0.536,284.0,244.0,526,0.8,89.3,11.1,2.98
34,2023-05-10_tha,tha,2023-05-10,2023-05-09T23:29:02Z,2023-05-10T05:28:58Z,0.499,1.8,18.56,0.365,415.0,342.0,523,7.8,64.2,14.2,6.58
35,2019-12-02_the,the,2019-12-02,2019-12-02T07:52:01Z,2019-12-02T13:51:56Z,0.794,3.4,36.68,1.675,143.0,151.0,521,1.3,46.5,19.0,1.62
36,2025-05-17_tha,tha,2025-05-17,2025-05-17T01:47:01Z,2025-05-17T07:46:59Z,0.591,1.715,34.23,0.279,213.0,340.0,520,0.4,77.3,21.0,6.67
37,2020-12-17_the,the,2020-12-17,2020-12-17T02:02:01Z,2020-12-17T08:01:56Z,0.69,4.217,45.19,0.592,87.0,98.0,516,1.7,71.5,11.5,1.84
38,2008-08-28_thc,thc,2008-08-28,2008-08-27T21:00:00Z,2008-08-28T02:59:59Z,0.476,2.337,20.66,0.492,120.0,110.0,512,0.6,65.4,14.4,1.61
39,2016-08-03_tha,tha,2016-08-03,2016-08-02T23:17:00Z,2016-08-03T05:16:59Z,0.857,1.554,53.64,0.141,83.0,104.0,509,2.9,84.9,23.3,6.49
40,2020-12-17_thd,thd,2020-12-17,2020-12-17T01:27:00Z,2020-12-17T07:26:57Z,0.527,3.073,29.66,0.458,83.0,93.0,494,1.5,72.0,10.0,1.76
41,2018-08-31_thd,thd,2018-08-31,2018-08-30T21:00:03Z,2018-08-31T02:59:59Z,0.618,2.307,19.01,0.933,223.0,166.0,490,0.1,80.6,19.9,1.9
42,2023-03-02_the,the,2023-03-02,2023-03-01T21:34:03Z,2023-03-02T03:33:57Z,0.672,2.781,9.99,0.25,330.0,387.0,481,3.6,83.3,10.5,2.65
43,2019-11-03_thd,thd,2019-11-03,2019-11-03T12:29:00Z,2019-11-03T18:28:57Z,0.716,4.39,31.06,0.786,122.0,133.0,478,1.5,78.3,15.7,1.89
44,2019-10-22_thd,thd,2019-10-22,2019-10-21T21:00:02Z,2019-10-22T02:59:58Z,0.668,4.171,32.65,1.238,147.0,163.0,471,0.3,63.1,13.9,1.83
45,2018-11-01_tha,tha,2018-11-01,2018-11-01T00:00:01Z,2018-11-01T05:59:58Z,0.883,2.092,48.38,1.015,139.0,118.0,470,0.2,55.8,22.7,3.95
46,2025-07-14_thd,thd,2025-07-14,2025-07-14T21:21:44Z,2025-07-15T02:58:58Z,0.521,1.725,13.15,0.604,324.0,341.0,454,1.5,50.4,21.5,2.83
47,2019-11-02_thd,thd,2019-11-02,2019-11-02T02:32:00Z,2019-11-02T08:31:57Z,0.417,3.174,9.72,0.362,138.0,152.0,447,1.4,53.0,15.0,0.91
48,2024-04-18_the,the,2024-04-18,2024-04-18T06:03:02Z,2024-04-18T12:02:59Z,0.479,2.375,20.92,0.2,116.0,163.0,447,4.7,80.5,3.4,2.54
49,2019-10-27_thd,thd,2019-10-27,2019-10-27T11:02:18Z,2019-10-27T17:01:58Z,0.611,2.975,5.9,0.407,393.0,403.0,440,0.0,84.9,14.7,1.46
50,2008-08-28_thb,thb,2008-08-28,2008-08-27T21:00:01Z,2008-08-28T02:59:58Z,0.711,2.181,28.23,0.802,110.0,112.0,433,0.6,65.4,12.1,1.61
51,2019-12-05_the,the,2019-12-05,2019-12-04T21:00:00Z,2019-12-05T02:59:58Z,0.692,4.287,44.62,0.965,122.0,138.0,428,0.9,78.0,19.1,2.0
52,2009-08-05_thc,thc,2009-08-05,2009-08-05T12:58:02Z,2009-08-05T18:57:58Z,0.641,2.03,24.13,0.252,131.0,166.0,425,7.3,72.2,12.4,2.67
53,2007-08-26_the,the,2007-08-26,2007-08-26T20:59:00Z,2007-08-27T02:58:58Z,0.59,1.631,16.37,0.423,292.0,255.0,421,3.5,60.3,16.7,3.65
54,2008-09-07_thc,thc,2008-09-07,2008-09-06T21:00:02Z,2008-09-07T02:59:57Z,0.862,2.519,12.06,1.584,508.0,525.0,420,1.2,59.8,9.1,2.65
55,2019-10-30_thd,thd,2019-10-30,2019-10-30T06:42:00Z,2019-10-30T12:41:59Z,0.756,1.406,17.66,0.117,60.0,78.0,400,0.4,70.0,14.8,1.82
56,2023-03-02_thd,thd,2023-03-02,2023-03-01T22:20:00Z,2023-03-02T04:19:57Z,0.511,3.06,5.15,0.191,384.0,379.0,397,3.6,83.2,12.2,2.34
57,2009-06-23_thb,thb,2009-06-23,2009-06-23T09:49:01Z,2009-06-23T15:48:58Z,0.701,3.757,51.4,1.721,103.0,99.0,395,0.5,78.3,15.2,2.59
58,2019-12-04_the,the,2019-12-04,2019-12-04T19:37:02Z,2019-12-05T01:36:57Z,0.502,4.94,32.26,0.562,117.0,138.0,394,1.0,75.5,18.9,2.12
59,2017-08-30_tha,tha,2017-08-30,2017-08-30T18:36:00Z,2017-08-31T00:35:58Z,0.738,2.387,24.15,0.988,150.0,155.0,392,0.9,34.5,11.9,1.65
60,2025-07-10_thd,thd,2025-07-10,2025-07-10T08:07:00Z,2025-07-10T14:06:58Z,0.476,13.49,19.5,0.418,217.0,210.0,392,0.1,63.6,21.8,2.6
61,2018-11-11_the,the,2018-11-11,2018-11-11T20:59:01Z,2018-11-12T02:58:58Z,0.415,2.398,8.88,0.671,572.0,468.0,388,1.8,55.2,23.5,2.74
62,2016-06-12_tha,tha,2016-06-12,2016-06-11T22:12:01Z,2016-06-12T04:10:31Z,0.798,2.396,18.33,0.713,282.0,307.0,377,1.7,55.7,19.3,3.18
63,2021-01-15_the,the,2021-01-15,2021-01-15T00:36:01Z,2021-01-15T06:35:59Z,0.442,3.422,28.18,0.667,131.0,127.0,365,0.7,78.3,7.4,1.77
64,2023-05-10_the,the,2023-05-10,2023-05-09T23:03:03Z,2023-05-10T05:02:56Z,0.614,1.97,31.8,0.963,505.0,423.0,363,6.9,66.6,11.7,6.31
65,2019-10-29_the,the,2019-10-29,2019-10-29T16:38:00Z,2019-10-29T22:37:58Z,0.802,1.646,46.96,1.842,217.0,195.0,357,1.4,62.2,17.0,2.79
66,2007-08-22_thc,thc,2007-08-22,2007-08-22T20:59:06Z,2007-08-23T01:48:51Z,0.753,2.792,23.8,0.829,118.0,150.0,345,2.3,87.2,18.1,1.35
67,2018-10-16_tha,tha,2018-10-16,2018-10-15T21:00:00Z,2018-10-16T02:59:57Z,0.537,6.14,2.16,0.155,478.0,438.0,341,0.1,59.0,16.8,1.68
68,2009-10-13_thc,thc,2009-10-13,2009-10-13T01:56:02Z,2009-10-13T07:55:58Z,0.732,2.807,16.18,0.472,131.0,151.0,329,0.5,62.3,3.1,1.32
69,2025-06-11_thd,thd,2025-06-11,2025-06-11T09:24:03Z,2025-06-11T15:23:58Z,0.593,2.121,15.36,0.321,195.0,196.0,315,0.8,88.7,23.8,2.51
70,2007-08-16_thc,thc,2007-08-16,2007-08-16T09:55:05Z,2007-08-16T15:54:59Z,0.569,2.219,16.39,0.356,186.0,228.0,288,2.1,52.1,15.5,2.54
71,2008-09-29_thb,thb,2008-09-29,2008-09-28T21:16:02Z,2008-09-29T03:15:57Z,0.713,2.216,17.79,0.617,149.0,166.0,282,3.6,53.5,16.2,1.61
72,2024-03-25_the,the,2024-03-25,2024-03-25T05:24:00Z,2024-03-25T11:23:56Z,0.876,8.07,13.8,0.226,455.0,801.0,274,9.1,84.6,9.2,6.17
73,2008-09-24_thb,thb,2008-09-24,2008-09-24T20:56:02Z,2008-09-25T02:55:59Z,0.592,2.961,20.97,0.406,96.0,105.0,267,1.4,85.9,14.2,1.26
74,2008-09-25_thb,thb,2008-09-25,2008-09-24T21:00:00Z,2008-09-25T02:59:57Z,0.586,2.956,20.98,0.406,96.0,104.0,266,1.4,85.9,14.2,1.26
75,2021-01-14_the,the,2021-01-14,2021-01-13T21:00:02Z,2021-01-14T02:59:56Z,0.747,3.129,23.98,0.695,195.0,182.0,266,0.4,28.3,7.9,1.99
76,2021-01-13_the,the,2021-01-13,2021-01-13T20:54:02Z,2021-01-14T02:53:56Z,0.742,3.14,23.98,0.695,194.0,183.0,264,0.4,28.3,7.9,1.99
