encounter_id,date,probe,year,month,sza_deg,cone_deg,clock_deg,cone_bin,dp_nPa,bz_nT,ma,mp_standoff_re,bs_standoff_re,alpha,x_gsm_re,r_re,n_points,near_occ_1d,bg_occ_1d,Dn_1d,EB_1d,evaluable_1d,near_occ_rad,bg_occ_rad,Dn_rad,EB_rad,evaluable_rad,near_occ_jbs,bg_occ_jbs,Dn_jbs,EB_jbs,evaluable_jbs,s_shift_mean,Dn_rad_0.0_0.05,occ_rad_0.0_0.05,Dn_rad_0.0_0.1,occ_rad_0.0_0.1,Dn_rad_0.1_0.2,occ_rad_0.1_0.2,Dn_rad_0.2_0.4,occ_rad_0.2_0.4
2010-08-30_the,2010-08-30,the,2010,8,24.9,63.5,334.6,perpendicular,0.71,1.56,12.9,12.03,15.4,0.5684,6.79,7.49,7124,0.8424,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3748,,1.0,,1.0,,0.0,,0.0
2010-09-06_the,2010-09-06,the,2010,9,18.4,64.4,263.1,perpendicular,2.27,-0.36,9.4,10.02,12.87,0.5968,7.09,7.47,7029,0.9328,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3195,,1.0,,1.0,,0.0,,0.0
2010-09-11_thd,2010-09-11,thd,2010,9,15.9,37.9,309.4,low-cone,0.68,1.11,9.6,12.1,15.54,0.5728,7.21,7.49,7119,0.848,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3634,,1.0,,1.0,,0.0,,0.0
2010-09-07_the,2010-09-07,the,2010,9,17.5,73.6,105.4,perpendicular,1.63,-1.01,7.9,10.45,13.46,0.5997,7.12,7.47,7029,0.923,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3303,,1.0,,1.0,,0.0,,0.0
2010-09-03_the,2010-09-03,the,2010,9,21.3,58.0,298.4,intermediate,0.71,0.93,11.2,12.02,15.4,0.5748,6.99,7.5,7124,0.8509,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3695,,1.0,,1.0,,0.0,,0.0
2010-09-12_tha,2010-09-12,tha,2010,9,13.5,55.2,291.8,intermediate,0.77,1.0,8.3,11.87,15.28,0.5744,7.27,7.48,7029,0.8579,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.356,,1.0,,1.0,,0.0,,0.0
2010-09-13_tha,2010-09-13,tha,2010,9,12.5,71.8,272.0,perpendicular,1.39,0.12,9.2,10.85,13.94,0.5868,7.29,7.47,7027,0.8904,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3323,,1.0,,1.0,,0.0,,0.0
2010-09-05_the,2010-09-05,the,2010,9,19.4,54.8,268.9,intermediate,0.91,-0.04,12.9,11.56,14.79,0.5857,7.07,7.49,7124,0.8666,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.361,,1.0,,1.0,,0.0,,0.0
2010-09-01_the,2010-09-01,the,2010,9,23.1,72.3,291.6,perpendicular,1.74,2.42,6.5,10.51,13.61,0.5655,6.89,7.49,7105,0.9381,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3416,,1.0,,1.0,,0.0,,0.0
2010-09-13_thd,2010-09-13,thd,2010,9,14.2,72.2,269.3,perpendicular,1.42,-0.04,9.3,10.8,13.88,0.5886,7.27,7.5,7119,0.8986,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.334,,1.0,,1.0,,0.0,,0.0
2010-09-14_tha,2010-09-14,tha,2010,9,11.7,77.5,86.2,perpendicular,2.99,0.49,7.1,9.66,12.48,0.5922,7.33,7.48,7029,0.6573,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.2625,,0.9124,,0.9593,,0.0407,,0.0
2010-09-07_tha,2010-09-07,tha,2010,9,17.8,68.4,105.7,perpendicular,1.61,-1.03,7.8,10.47,13.49,0.5998,7.11,7.46,7029,0.9162,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3307,,1.0,,1.0,,0.0,,0.0
2010-09-10_thd,2010-09-10,thd,2010,9,16.8,75.3,334.1,perpendicular,0.8,2.58,8.7,11.83,15.21,0.5586,7.18,7.5,7119,0.8651,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3594,,1.0,,1.0,,0.0,,0.0
2010-09-11_tha,2010-09-11,tha,2010,9,14.3,37.1,310.8,low-cone,0.68,1.13,9.5,12.1,15.54,0.5726,7.23,7.47,7029,0.8411,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3618,,1.0,,1.0,,0.0,,0.0
2010-05-12_thc,2010-05-12,thc,2010,5,13.9,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,
2010-09-15_tha,2010-09-15,tha,2010,9,10.8,74.7,336.1,perpendicular,2.04,4.54,7.7,10.28,13.25,0.5455,7.34,7.47,7030,0.83,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3059,,1.0,,1.0,,0.0,,0.0
2010-09-14_the,2010-09-14,the,2010,9,11.4,77.5,87.9,perpendicular,2.95,0.27,7.0,9.68,12.5,0.5943,7.33,7.48,7031,0.6757,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.2657,,0.9255,,0.9747,,0.0253,,0.0
2010-08-31_the,2010-08-31,the,2010,8,24.0,83.2,319.7,perpendicular,1.04,2.98,8.5,11.37,14.63,0.5559,6.84,7.49,7124,0.8892,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3627,,1.0,,1.0,,0.0,,0.0
2010-09-15_the,2010-09-15,the,2010,9,10.9,74.6,333.4,perpendicular,2.06,4.54,7.7,10.27,13.23,0.5456,7.42,7.56,6803,0.8608,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3034,,1.0,,1.0,,0.0,,0.0
2010-09-12_thd,2010-09-12,thd,2010,9,15.1,55.9,291.3,intermediate,0.77,0.99,8.2,11.87,15.28,0.5745,7.25,7.51,7119,0.8659,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3575,,1.0,,1.0,,0.0,,0.0
2010-09-16_the,2010-09-16,the,2010,9,9.7,84.0,344.0,perpendicular,4.11,5.57,8.8,9.26,11.91,0.5458,7.39,7.49,7030,0.5543,0.0,,,False,0.103,0.0,,,False,0.0876,0.0,,,False,0.2551,,0.7853,,0.8205,,0.0765,,0.103
2010-09-17_tha,2010-09-17,tha,2010,9,9.0,46.8,273.3,intermediate,1.31,0.07,12.0,10.94,14.02,0.5869,7.38,7.48,7030,0.8751,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3307,,1.0,,1.0,,0.0,,0.0
2010-09-17_the,2010-09-17,the,2010,9,8.7,45.5,272.0,intermediate,1.31,0.04,11.8,10.94,14.02,0.5871,7.4,7.49,7031,0.8822,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3309,,1.0,,1.0,,0.0,,0.0
2010-09-13_the,2010-09-13,the,2010,9,12.3,72.3,268.7,perpendicular,1.43,-0.07,9.4,10.79,13.86,0.5891,7.31,7.48,7029,0.8986,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3311,,1.0,,1.0,,0.0,,0.0
