eid,sza_med,Dn_1d,Dn_radial,dDn,EB_1d,EB_radial
2016-08-02_tha,24.455917772793168,2.7663,1.7926,-0.9737000000000002,1.3836,1.5422
2016-08-02_thd,20.373873650174463,0.5944,1.3896,0.7951999999999999,9.6338,1.7767
2017-08-04_the,20.710541540892702,0.151,1.3057,1.1547,4.6492,2.8107
2017-08-06_tha,22.023108360907894,1.3134,1.3723,0.058900000000000174,1.2734,1.6398
2017-08-07_tha,21.548979480149708,0.034,0.0306,-0.0034000000000000037,4.0984,3.1362
2017-08-08_tha,21.384655336431877,1.071,0.914,-0.15699999999999992,1.4775,1.8417
2017-08-10_tha,21.16876638389545,1.212,1.0178,-0.19419999999999993,1.5288,1.599
2017-08-05_tha,22.719347923633745,1.5305,1.3288,-0.2017,1.7874,1.8763
2017-08-17_the,15.318280849133055,1.6817,1.5451,-0.13660000000000005,1.532,1.7371
2017-08-16_the,15.458086465450862,1.0711,1.0649,-0.006199999999999983,1.4484,1.5898
2017-08-12_the,17.819132881400055,1.0709,1.2421,0.17120000000000002,1.449,1.3061
2017-08-22_the,13.136613750705772,1.267,1.2991,0.03210000000000002,2.4748,2.6315
2017-08-22_thd,10.717909822079477,1.6947,1.8914,0.19669999999999987,0.4915,0.4602
2017-08-19_the,15.041812255468756,2.4349,2.4061,-0.028799999999999937,3.0891,3.2937
2017-08-21_the,13.887176604267419,0.9899,0.9784,-0.011499999999999955,1.0924,1.1403
2017-08-24_the,12.347460613794219,0.0128,0.0128,0.0,1.671,1.7243
2017-08-25_tha,14.892614423781362,0.9957,1.3564,0.3607,2.3562,1.8459
2017-08-26_tha,14.36778846973559,0.0276,0.0305,0.0029,2.4303,2.4777
2017-08-25_the,12.653543269956993,0.8875,0.9131,0.025600000000000067,1.4857,1.4413
2017-09-03_tha,10.46802313168055,0.8167,0.93,0.11330000000000007,1.9579,1.572
2017-09-01_thd,7.086736863902113,0.1886,0.1446,-0.043999999999999984,2.9987,3.1469
2017-09-04_tha,9.596363676782492,1.1484,1.2395,0.09109999999999996,1.097,0.7976
2017-09-02_tha,11.15304703545449,0.889,0.771,-0.118,6.46,6.797
2017-09-01_tha,11.729342640726209,1.0446,1.0689,0.02429999999999999,2.5701,2.5235
2017-08-30_tha,11.884496911167963,0.8926,0.8748,-0.017799999999999927,1.4447,1.5245
2017-09-06_the,6.439010456603366,0.0371,0.0305,-0.006600000000000002,2.8422,3.0818
2017-09-05_the,7.180462333624684,0.7468,0.783,0.03620000000000001,2.7347,2.5784
2017-09-15_tha,4.278083584096113,0.6697,1.1201,0.45040000000000013,3.7391,1.3193
2017-09-15_thd,0.10157402665939712,1.2983,1.4353,0.137,1.1646,1.074
2017-09-12_the,4.052290808919849,1.2548,1.8353,0.5805,3.0808,4.5216
2017-09-11_tha,6.356711606175727,0.5713,1.1637,0.5923999999999999,5.4318,1.3677
2017-09-15_the,2.263019975898112,2.8644,3.3998,0.5354000000000001,2.8476,3.3849
2017-09-16_tha,4.092428126065209,0.7464,0.9998,0.25340000000000007,3.6339,1.2322
2017-09-08_tha,8.569473426236227,0.5896,0.5078,-0.08179999999999998,2.1337,1.8917
2017-09-16_the,3.5443603766196663,0.866,1.1037,0.2376999999999999,3.803,4.1338
2017-09-17_the,1.9971595829418478,0.6019,0.8178,0.21589999999999998,3.9122,3.5389
2017-09-18_tha,3.08890063711938,1.1978,1.4207,0.2229000000000001,4.2361,1.2787
2017-09-14_tha,4.25363354825939,0.1361,0.4785,0.3424,2.3122,1.2577
2017-09-19_the,0.8778514324037535,0.1683,0.9548,0.7865,3.1418,2.3328
2017-09-18_the,1.5774756978514306,3.4052,4.6613,1.2561,3.7594,4.7764
2017-09-20_the,0.026675635943349783,0.1766,1.0543,0.8777,2.4442,1.4684
2017-09-07_tha,8.055306407365649,0.7836,0.497,-0.28659999999999997,2.0872,1.902
2017-09-23_the,1.453330718690378,0.0131,0.0307,0.0176,3.9815,3.0568
2017-09-27_thd,5.404386014038295,0.4103,1.4066,0.9963000000000001,3.1804,1.3042
2017-09-27_the,3.0838605514324984,0.8527,1.5324,0.6797,5.3219,3.327
2017-09-22_the,1.2291060723971377,0.4307,0.812,0.38130000000000003,2.2356,1.9088
2017-09-28_the,4.021196032163189,0.3111,1.1516,0.8405,4.9724,1.8814
2017-09-27_tha,2.6874344371724637,0.3341,2.5355,2.2014,2.8557,1.5935
2017-10-12_the,9.818207114585904,0.6708,1.1044,0.4336000000000001,5.9305,1.5337
2017-10-11_the,8.87933290162847,0.057,0.8772,0.8201999999999999,4.7075,2.1177
2018-08-26_tha,9.014474559179508,0.1787,2.609,2.4303,1.8406,1.3296
2018-08-31_thd,19.872618451620802,0.8845,1.0447,0.1602,1.7242,1.4879
2018-08-26_thd,10.433229342955165,0.7881,1.1685,0.38040000000000007,2.7289,1.4881
2018-09-04_thd,4.2424149480205875,0.5045,1.6848,1.1803000000000001,5.5851,0.8602
2018-09-07_the,3.196409699972924,0.2084,1.1852,0.9768,6.1386,0.6124
2018-09-11_tha,0.4530207535383967,0.5768,2.964,2.3872,5.9283,2.9673
