eid,probe,bz,bz_sign,clock,cone,sza,dp,ma,bx,Dn_mem,EB_mem,n_near,beta_near,T_near,n_mem,cls
2007-08-19_thb,thb,2.67,1,302.7,83.5,16.0,1.72,8.1,0.63,0.4758,2.1514,10.35,0.1696,103.2,48,CONFIRMED_PDL
2007-08-19_thc,thc,2.73,1,303.4,78.0,16.1,1.71,8.0,1.19,0.5519,1.9411,12.23,0.2323,112.0,78,CONFIRMED_PDL
2007-08-19_thd,thd,2.73,1,303.5,76.5,16.3,1.69,7.9,1.36,0.6792,1.7965,13.62,0.2359,109.6,78,CONFIRMED_PDL
2007-08-19_the,the,2.73,1,303.6,76.4,16.0,1.69,7.9,1.37,0.7803,1.7737,14.97,0.2529,108.2,64,CONFIRMED_PDL
2007-08-21_thb,thb,0.42,1,290.4,73.4,14.5,1.82,14.1,-1.02,0.773,2.8887,31.64,1.1236,133.2,85,CONFIRMED_PDL
2007-08-21_thc,thc,0.41,1,285.3,72.1,14.6,1.76,14.4,-0.97,0.8609,2.1712,40.3,1.653,126.5,87,CONFIRMED_PDL
2007-08-21_thd,thd,0.42,1,284.4,72.7,15.6,1.74,14.5,-0.92,0.8529,2.2566,37.91,1.3726,124.0,85,CONFIRMED_PDL
2007-08-21_the,the,0.42,1,283.4,79.0,15.8,1.72,14.6,-0.59,0.93,2.2786,39.07,1.935,133.1,83,AMBIGUOUS
2007-08-22_thb,thb,2.32,1,333.2,87.2,17.5,1.35,13.5,-0.15,0.6394,3.1886,18.65,0.4399,129.4,603,CONFIRMED_PDL
2007-08-22_thc,thc,2.32,1,333.2,87.2,18.1,1.35,13.5,-0.15,0.7531,2.7925,23.8,0.8293,117.8,345,CONFIRMED_PDL
2007-08-22_thd,thd,2.32,1,333.2,87.2,17.7,1.35,13.5,-0.15,0.6074,3.1977,17.85,0.4355,114.4,664,CONFIRMED_PDL
2007-08-22_the,the,2.32,1,333.2,87.2,17.8,1.35,13.5,-0.15,0.4018,3.6272,11.88,0.2429,119.1,737,CONFIRMED_PDL
2007-08-25_tha,tha,-0.99,0,259.6,45.7,14.3,3.29,7.6,5.93,3.8764,3.5307,63.92,2.0004,126.3,101,AMBIGUOUS
2007-08-25_thb,thb,-1.31,0,258.2,55.4,14.3,3.97,8.1,4.96,0.9804,1.7454,64.69,1.0911,121.7,491,AMBIGUOUS
2007-08-25_thc,thc,-1.41,0,257.1,54.2,14.3,3.85,8.1,5.1,0.7655,1.7052,56.55,1.1127,132.6,487,AMBIGUOUS
2007-08-25_thd,thd,-1.41,0,257.1,53.8,14.4,3.81,8.0,5.15,0.7315,1.7991,51.51,0.862,125.6,474,AMBIGUOUS
2007-08-25_the,the,-1.4,0,257.2,53.4,14.5,3.8,8.0,5.18,0.715,1.7898,50.73,0.917,132.8,492,AMBIGUOUS
2007-08-26_thb,thb,3.47,1,292.6,60.3,16.7,3.65,6.1,6.53,0.254,1.8808,9.1,0.1957,309.3,454,AMBIGUOUS
2007-08-26_thc,thc,3.47,1,292.6,60.3,16.4,3.65,6.1,6.53,0.2597,1.8662,7.62,0.2222,413.3,384,AMBIGUOUS
2007-08-26_thd,thd,3.47,1,292.6,60.3,16.6,3.65,6.1,6.53,0.2949,1.8089,7.78,0.2185,354.0,365,AMBIGUOUS
2007-08-26_the,the,3.47,1,292.6,60.3,16.7,3.65,6.1,6.53,0.5904,1.6306,16.37,0.4228,291.8,421,CONFIRMED_PDL
2007-08-27_thb,thb,3.6,1,302.1,62.8,15.6,3.26,7.1,4.98,0.3127,1.7442,12.57,0.2285,264.6,505,AMBIGUOUS
2007-08-27_thc,thc,3.23,1,301.7,55.0,14.7,2.91,7.2,4.63,0.3852,1.6601,15.92,0.2783,207.0,556,AMBIGUOUS
2007-08-27_thd,thd,3.08,1,301.2,54.3,14.8,2.84,7.2,4.59,0.4205,1.5451,15.08,0.2715,207.5,534,CONFIRMED_PDL
2007-08-27_the,the,3.04,1,301.1,53.5,14.8,2.83,7.2,4.57,0.4759,1.3515,13.82,0.283,232.5,526,CONFIRMED_PDL
2007-08-30_tha,tha,0.34,1,67.0,46.1,17.4,1.54,12.4,2.53,0.0964,4.4697,1.22,0.0989,374.4,239,BOUNDARY_LAYER
2007-09-04_thc,thc,-1.21,0,158.3,31.6,26.0,1.21,10.0,-3.63,2.004,1.3774,13.45,4.7378,364.8,935,AMBIGUOUS
2007-09-04_thd,thd,-1.21,0,158.3,31.6,26.9,1.21,10.0,-3.63,2.032,1.5926,11.58,3.5753,345.4,512,AMBIGUOUS
2008-06-14_thc,thc,2.65,1,293.9,74.1,27.8,6.94,8.5,2.71,2.3651,1.1896,159.53,3.7096,134.6,411,AMBIGUOUS
2008-06-28_thb,thb,0.11,1,88.2,76.9,28.0,1.24,10.2,0.87,1.0545,1.9993,7.91,1.87,427.4,504,AMBIGUOUS
2008-07-10_thc,thc,1.57,1,300.0,80.6,22.6,1.91,11.1,0.74,1.3895,1.0658,43.08,3.3316,126.9,540,AMBIGUOUS
2008-07-12_thc,thc,-1.96,0,257.2,65.9,22.4,2.5,5.9,4.46,0.9986,2.3179,22.01,0.4795,190.8,517,AMBIGUOUS
2008-07-14_thc,thc,-0.7,0,236.3,43.2,22.1,1.3,10.8,2.69,2.5099,3.7286,8.0,2.9564,561.6,393,AMBIGUOUS
2008-07-16_thc,thc,0.86,1,298.6,76.9,21.9,1.41,14.5,-0.66,0.0871,4.5897,0.8,0.0988,719.0,91,BOUNDARY_LAYER
2008-07-18_thc,thc,-1.47,0,212.9,40.8,21.6,0.84,10.7,2.27,0.3506,3.1549,4.09,0.2692,284.8,85,AMBIGUOUS
2008-07-20_thc,thc,0.44,1,283.2,88.7,21.3,1.02,14.5,-0.06,1.1942,2.233,29.41,2.7632,118.4,457,AMBIGUOUS
2008-07-24_thc,thc,-0.78,0,115.7,40.7,20.5,0.82,10.8,-2.13,1.2409,1.9375,6.43,4.9237,495.5,709,AMBIGUOUS
2008-08-18_thd,thd,-0.65,0,116.2,50.6,15.9,3.55,11.5,-3.72,0.9188,1.2617,17.73,6.8265,560.8,714,AMBIGUOUS
2008-08-18_the,the,-0.72,0,221.6,48.8,16.4,3.87,11.6,-3.96,0.8758,2.3789,14.01,1.8967,552.7,652,AMBIGUOUS
2008-08-26_thc,thc,0.21,1,276.4,59.1,14.8,1.16,15.1,1.29,3.4521,6.9147,35.91,4.4061,119.2,255,AMBIGUOUS
2008-08-28_thb,thb,0.63,1,280.1,65.4,12.1,1.61,9.7,1.96,0.711,2.1813,28.23,0.8021,109.9,433,CONFIRMED_PDL
2008-08-28_thc,thc,0.63,1,280.1,65.4,14.4,1.61,9.7,1.96,0.4762,2.3371,20.66,0.4923,119.9,512,CONFIRMED_PDL
2008-08-30_thc,thc,0.53,1,281.1,73.0,13.2,1.46,9.9,1.28,0.9162,1.927,26.1,1.5407,143.0,376,AMBIGUOUS
2008-09-01_thb,thb,-0.5,0,255.6,51.3,14.5,1.62,12.7,2.15,0.5797,2.1072,13.99,0.7559,173.8,298,AMBIGUOUS
2008-09-03_thc,thc,0.15,1,59.0,55.6,11.1,1.42,14.3,1.65,1.1143,2.7835,38.02,1.562,106.1,479,AMBIGUOUS
2008-09-05_thb,thb,-0.27,0,264.9,52.3,9.1,1.44,10.2,2.57,0.1298,3.2385,1.06,0.0689,435.5,277,BOUNDARY_LAYER
2008-09-05_thc,thc,-0.27,0,264.9,52.3,10.1,1.44,10.2,2.57,0.1845,3.189,1.68,0.0953,451.6,363,BOUNDARY_LAYER
2008-09-06_thc,thc,1.27,1,325.9,55.5,6.4,2.6,13.6,2.38,1.08,1.3191,14.73,7.9281,573.5,12,AMBIGUOUS
2008-09-07_thc,thc,1.23,1,297.3,59.8,9.1,2.65,12.5,2.31,0.8621,2.5192,12.06,1.5837,508.1,420,CONFIRMED_PDL
