eid,probe,stage,bz,cls
2008-07-19_tha,tha,no_sheath,0.88,
2008-07-19_thd,thd,no_sheath,0.37,
2008-07-19_the,the,no_sheath,0.52,
2008-07-20_tha,tha,no_sheath,0.43,
2008-07-20_thc,thc,contrib,0.44,AMBIGUOUS
2008-07-20_thd,thd,no_sheath,0.54,
2008-07-20_the,the,no_sheath,0.65,
2008-07-21_tha,tha,no_bg,-0.5,
2008-07-21_thb,thb,no_sheath,-0.35,
2008-07-21_thd,thd,no_bg,-2.04,
2008-07-21_the,the,no_bg,-0.56,
2008-07-22_tha,tha,no_sheath,-0.96,
2008-07-22_thb,thb,no_sheath,0.19,
2008-07-22_thc,thc,no_shell,0.61,
2008-07-22_thd,thd,no_bg,1.89,
2008-07-22_the,the,no_bg,1.78,
2008-07-23_tha,tha,no_sheath,0.02,
2008-07-23_thc,thc,no_sheath,-0.51,
2008-07-23_thd,thd,no_bg,-1.33,
2008-07-23_the,the,no_bg,-1.28,
2008-07-24_tha,tha,no_sheath,0.19,
2008-07-24_thb,thb,no_sheath,-0.43,
2008-07-24_thc,thc,contrib,-0.78,AMBIGUOUS
2008-07-24_thd,thd,no_sheath,-1.57,
2008-07-24_the,the,no_sheath,-1.4,
2008-07-25_tha,tha,no_sheath,1.58,
2008-07-25_thb,thb,no_sheath,0.48,
2008-07-25_thc,thc,no_sheath,0.87,
2008-07-25_thd,thd,no_sheath,1.7,
2008-07-25_the,the,no_sheath,1.7,
2008-07-26_tha,tha,no_sheath,-1.16,
2008-07-26_thb,thb,no_sheath,0.46,
2008-07-26_thc,thc,no_shell,-0.48,
2008-07-26_thd,thd,no_sheath,-1.27,
2008-07-26_the,the,no_sheath,-1.15,
2008-07-27_tha,tha,no_sheath,-1.85,
2008-07-27_thc,thc,no_sheath,1.24,
2008-07-27_thd,thd,no_sheath,-0.84,
2008-07-27_the,the,no_sheath,-0.71,
2008-07-28_tha,tha,no_sheath,-1.47,
2008-07-28_thb,thb,no_sheath,0.35,
2008-07-28_thc,thc,no_sheath,-1.26,
2008-07-28_thd,thd,no_sheath,-0.76,
2008-07-28_the,the,no_sheath,-0.56,
2008-07-29_tha,tha,no_sheath,0.4,
2008-07-29_thb,thb,no_sheath,0.17,
2008-07-29_thc,thc,no_sheath,0.55,
2008-07-29_thd,thd,no_sheath,-0.62,
2008-07-29_the,the,no_sheath,-0.28,
2008-07-30_tha,tha,no_sheath,-1.86,
2008-07-30_thc,thc,no_sheath,1.57,
2008-07-30_thd,thd,no_sheath,3.85,
2008-07-30_the,the,no_sheath,3.38,
2008-07-31_tha,tha,no_sheath,-0.66,
2008-07-31_thb,thb,no_sheath,0.01,
2008-07-31_thc,thc,no_sheath,1.85,
2008-07-31_thd,thd,no_sheath,1.4,
2008-07-31_the,the,no_sheath,1.48,
2008-08-01_tha,tha,no_sheath,-0.4,
2008-08-01_thc,thc,no_sheath,1.88,
2008-08-01_thd,thd,no_sheath,0.49,
2008-08-01_the,the,no_sheath,-0.11,
2008-08-02_tha,tha,no_sheath,2.45,
2008-08-02_thb,thb,no_sheath,2.81,
2008-08-02_thc,thc,no_sheath,0.17,
2008-08-02_thd,thd,no_sheath,2.65,
2008-08-02_the,the,no_sheath,2.84,
2008-08-03_tha,tha,no_sheath,-1.22,
2008-08-03_thc,thc,no_sheath,-0.44,
2008-08-03_thd,thd,no_bg,-1.25,
2008-08-03_the,the,no_bg,-2.23,
2008-08-04_tha,tha,no_sheath,0.13,
2008-08-04_thb,thb,no_sheath,0.01,
2008-08-04_thc,thc,no_sheath,0.02,
2008-08-04_thd,thd,no_sheath,0.03,
2008-08-04_the,the,no_sheath,-0.05,
2008-08-05_tha,tha,no_sheath,-1.53,
2008-08-05_thc,thc,no_sheath,-1.51,
2008-08-05_thd,thd,no_sheath,1.02,
2008-08-05_the,the,no_sheath,1.97,
2008-08-06_tha,tha,no_sheath,-1.25,
2008-08-06_thb,thb,no_sheath,0.15,
2008-08-06_thc,thc,no_sheath,0.75,
2008-08-06_thd,thd,no_bg,0.0,
2008-08-06_the,the,no_bg,0.05,
2008-08-07_tha,tha,no_sheath,-0.44,
2008-08-07_thc,thc,no_sheath,1.13,
2008-08-07_thd,thd,no_sheath,0.64,
2008-08-07_the,the,no_sheath,-0.35,
2008-08-08_tha,tha,no_sheath,5.65,
2008-08-08_thb,thb,no_sheath,0.89,
2008-08-08_thc,thc,no_sheath,0.05,
2008-08-08_thd,thd,no_bg,1.9,
2008-08-08_the,the,no_bg,1.96,
2008-08-09_tha,tha,no_bg,-0.37,
2008-08-09_thb,thb,no_sheath,-0.53,
2008-08-09_thc,thc,no_sheath,0.56,
2008-08-09_thd,thd,no_bg,0.58,
2008-08-09_the,the,no_bg,0.52,
2008-08-10_tha,tha,no_sheath,-0.01,
2008-08-10_thb,thb,no_sheath,-1.13,
2008-08-10_thc,thc,no_sheath,-0.47,
2008-08-10_thd,thd,no_bg,1.56,
2008-08-10_the,the,no_bg,0.68,
2008-08-11_tha,tha,no_sheath,0.25,
2008-08-11_thc,thc,no_sheath,0.14,
2008-08-11_thd,thd,no_bg,0.23,
2008-08-11_the,the,no_bg,0.66,
2008-08-12_tha,tha,no_sheath,-0.56,
2008-08-12_thb,thb,no_sheath,0.47,
2008-08-12_thc,thc,no_sheath,0.03,
2008-08-12_thd,thd,no_bg,0.2,
2008-08-12_the,the,no_bg,0.44,
2008-08-13_tha,tha,no_sheath,0.57,
2008-08-13_thb,thb,no_sheath,0.04,
2008-08-13_thc,thc,no_sheath,1.23,
2008-08-13_thd,thd,no_sheath,1.23,
2008-08-13_the,the,no_sheath,1.0,
2008-08-14_tha,tha,no_sheath,1.04,
2008-08-14_thb,thb,no_sheath,-0.21,
2008-08-14_thc,thc,no_sheath,0.04,
2008-08-14_thd,thd,no_bg,1.01,
2008-08-14_the,the,no_sheath,1.3,
2008-08-15_tha,tha,no_sheath,-0.19,
2008-08-15_thb,thb,no_sheath,1.67,
2008-08-15_thc,thc,no_sheath,0.37,
2008-08-15_thd,thd,no_sheath,0.18,
2008-08-15_the,the,no_sheath,0.44,
2008-08-16_tha,tha,no_bg,-1.68,
2008-08-16_thb,thb,no_sheath,1.66,
2008-08-16_thc,thc,no_shell,1.66,
2008-08-16_thd,thd,no_bg,-0.92,
2008-08-16_the,the,no_bg,-1.03,
2008-08-17_tha,tha,no_sheath,1.28,
2008-08-17_thc,thc,no_sheath,-0.07,
2008-08-17_thd,thd,no_bg,0.02,
2008-08-17_the,the,no_bg,0.17,
2008-08-18_tha,tha,no_bg,-0.25,
2008-08-18_thc,thc,no_shell,0.34,
2008-08-18_thd,thd,contrib,-0.65,AMBIGUOUS
2008-08-18_the,the,contrib,-0.72,AMBIGUOUS
2008-08-19_tha,tha,no_sheath,-1.75,
2008-08-19_thb,thb,no_sheath,-0.04,
2008-08-19_thc,thc,no_sheath,-1.63,
2008-08-19_thd,thd,no_bg,-1.57,
2008-08-19_the,the,no_bg,-1.52,
2008-08-20_tha,tha,no_sheath,-0.45,
2008-08-20_thb,thb,no_sheath,-0.58,
2008-08-20_thc,thc,no_shell,-0.58,
