eid,grp,north,n_sw,v_sw,ratio_bg,ratio_near,ratio_v
2016-07-24_the,NONCAND,False,12.860000133514404,432.29998779296875,4.149743625871938,4.948678020161758,0.34006515499583995
2016-07-25_tha,NONCAND,False,8.699999809265137,400.29998779296875,3.7602013283258486,0.1482758653196985,0.2619585759886194
2016-07-26_tha,NONCAND,False,9.109999656677246,367.79998779296875,3.6879855979470144,0.14270033468630866,0.29293396279643247
2016-07-27_the,A,True,14.220000267028809,326.79998779296875,5.632168627857846,4.720112428944726,0.22252444347907127
2016-07-28_thd,NONCAND,False,13.010000228881836,367.1000061035156,0.48201491954170267,1.5011529328526796,0.5622247255891177
2016-07-29_tha,NONCAND,True,4.110000133514404,584.7999877929688,3.021759436241595,0.31386860294258406,0.2870871555539645
2016-08-02_tha,NONCAND,False,18.505000114440918,411.29998779296875,3.050374978760712,2.957038619918605,0.3285354648696143
2016-08-02_thd,NONCAND,True,32.09000015258789,349.1000061035156,0.8065050692440658,0.9987535010159647,0.7365407735729492
2016-08-02_the,NONCAND,True,11.555000305175781,429.0,2.508999284929982,6.133275476267665,0.22095263643420382
2016-08-03_tha,A,True,19.34000015258789,410.1000061035156,3.234848166568538,2.773526348334719,0.3267085657653799
2017-07-26_tha,NONCAND,False,3.180000066757202,617.4000244140625,2.673767591523305,2.5157232176280995,0.320679368022206
