eid,grp,north,dp,cone,shear,bz,ma,sza,mp0,bs0,thick,n_bg,b_bg,t_bg,v_bg,dn,eb,beta_near,t_near,n_near,r_nb,peak,shape,flux
2009-07-23_thc,NONCAND,True,2.9,63.6,80.30000000000001,0.63,11.4,13.9,9.708596254784535,12.440091437886872,2.7314951831023375,18.02599334716797,24.225461959838867,368.8632955384451,115.49649047851562,0.1917,2.745,0.0872,366.0,3.45,-0.905,nan,nan,nan
2009-07-25_thb,NONCAND,True,1.08,22.2,11.900000000000006,1.14,9.4,10.6,11.28248746027073,14.490513894260301,3.2080264339895717,9.14536428451538,15.168553829193115,308.80240447133934,97.32196044921875,0.2792,3.147,0.0864,282.0,2.55,-0.805,nan,nan,nan
2009-07-30_thc,NONCAND,True,0.81,49.2,64.30000000000001,0.81,11.0,16.1,11.780716995000693,15.100737239046342,3.320020244045649,14.13167953491211,12.405719757080078,149.18503421768028,94.22554016113281,0.9942,2.3285,1.1666,170.0,14.05,-0.786,nan,nan,nan
2009-08-05_thc,A,True,2.67,72.2,19.099999999999994,7.26,7.0,12.4,9.90518589381179,12.798291213414695,2.8931053196029044,37.618953704833984,33.01253890991211,166.02212012753265,81.17918395996094,0.6413,2.0302,0.2519,131.4,24.13,-0.922,1.0,0.976,0.46
2009-08-07_thc,NONCAND,True,1.97,59.5,78.30000000000001,0.82,8.4,12.5,10.296619618879243,13.248579922760337,2.951960303881094,19.85662269592285,16.934176445007324,289.2603304735047,105.58565902709961,1.1172,1.6123,2.885,244.3,22.18,-0.361,nan,nan,nan
2009-08-08_thc,NONCAND,True,2.0,62.4,77.30000000000001,0.93,8.7,12.5,10.274355359494312,13.211790711090032,2.9374353515957203,19.85662269592285,16.75757598876953,287.9394693954971,106.2934799194336,1.266,1.5664,3.6109,261.5,25.14,-0.149,nan,nan,nan
2009-08-30_tha,NONCAND,True,3.77,67.4,42.80000000000001,2.83,13.6,18.5,9.353672681405124,11.967654011402148,2.6139813299970243,53.393226623535156,23.522518157958984,168.57775257010448,109.21372985839844,1.055,1.5331,3.136,183.0,56.33,-0.782,nan,nan,nan
2009-09-03_tha,NONCAND,False,3.6,70.6,101.69999999999999,-0.38,12.8,15.8,9.345702142193268,11.963199400184134,2.617497257990866,43.249961853027344,13.812098979949951,176.62256622517333,123.63873672485352,0.1564,4.0575,0.0901,146.0,6.76,-0.602,nan,nan,nan
2009-09-13_tha,NONCAND,False,2.09,70.0,90.80000000000001,-0.05,8.3,12.3,10.1889888510903,13.112980169895714,2.923991318805413,27.30410385131836,22.571880340576172,173.38796161796392,90.00713348388672,1.1477,1.9977,0.8073,131.2,31.34,-0.366,nan,nan,nan
2009-09-13_thd,NONCAND,False,3.87,65.7,160.89999999999998,-4.51,11.7,6.8,8.772272851861997,11.237516067428357,2.4652432155663604,49.37234878540039,15.659411907196045,103.80931558698919,146.7964324951172,1.2187,2.803,2.7454,217.9,60.17,-0.538,nan,nan,nan
2009-09-13_the,NONCAND,False,4.03,62.7,154.39999999999998,-4.52,11.4,7.2,8.717458549253328,11.170099014598152,2.4526404653448246,112.86422729492188,23.548062324523926,120.97170543261892,74.09430694580078,0.7669,1.9667,2.2881,139.9,86.56,-0.493,nan,nan,nan
2009-09-14_tha,NONCAND,True,2.05,67.8,88.10000000000002,0.12,8.4,12.2,10.226542912591349,13.158412772924416,2.9318698603330677,26.16811466217041,24.041455268859863,166.5168071290227,91.07905960083008,1.212,1.855,0.8306,128.0,31.72,-0.308,nan,nan,nan
2009-09-15_tha,NONCAND,False,1.79,59.3,103.0,-0.47,10.4,11.8,10.372806091685378,13.304447271830623,2.9316411801452453,18.33318328857422,19.656147003173828,206.36871250593464,107.56492614746094,0.9572,1.4773,2.1296,259.7,17.55,-0.784,nan,nan,nan
2009-09-16_tha,NONCAND,True,1.59,64.5,69.60000000000002,1.01,9.6,11.2,10.638736364252686,13.659624940843385,3.020888576590698,8.351161003112793,35.03713607788086,181.35157251726386,67.1732177734375,1.5981,0.832,1.6257,244.1,13.35,-0.491,nan,nan,nan
2009-09-17_tha,NONCAND,True,1.89,72.3,42.5,2.53,11.2,10.3,10.381744643038136,13.305617332934352,2.923872689896216,16.139840126037598,23.14927864074707,230.73395631015958,80.98321533203125,1.0445,1.3746,1.6524,240.4,16.86,-0.67,nan,nan,nan
2009-09-25_thc,NONCAND,True,0.96,69.7,36.80000000000001,2.98,7.9,6.0,11.509709622305111,14.827027023833113,3.317317401528001,31.625505447387695,15.86600112915039,104.42294753603873,69.09070587158203,0.9686,1.5204,2.1369,99.5,30.63,-0.74,nan,nan,nan
2009-10-01_thc,NONCAND,False,0.58,48.0,121.0,-0.86,8.4,1.2,12.250052334086773,15.762046517535708,3.5119941834489357,12.85364055633545,12.81042194366455,128.27992473388497,62.93525314331055,0.107,2.4991,0.1206,253.9,1.38,-0.662,nan,nan,nan
2009-10-02_thc,NONCAND,False,0.55,46.8,133.7,-1.05,8.4,0.4,12.319903445120485,15.851923395722695,3.5320199506022103,12.50826120376587,12.571353912353516,129.5463432579714,66.38179779052734,0.0966,2.5221,0.1237,278.8,1.21,-0.639,nan,nan,nan
2009-10-05_thc,NONCAND,False,0.87,35.8,108.19999999999999,-0.24,14.5,1.9,11.60878277497801,14.846749742208054,3.2379669672300437,12.777564525604248,7.533881664276123,164.60196710527438,113.0877571105957,0.0834,4.2908,0.1579,356.3,1.07,-0.52,nan,nan,nan
2009-10-12_thb,NONCAND,True,1.1,70.3,50.39999999999998,1.63,9.2,18.5,11.257506532600978,14.463049601212884,3.205543068611906,14.170066356658936,15.573789596557617,215.83178521199295,110.09671783447266,0.2569,2.7588,0.1801,260.2,3.64,-0.938,nan,nan,nan
2009-10-13_thc,A,True,1.32,62.3,61.69999999999999,0.5,11.9,3.1,10.936632647005231,14.00792191701732,3.0712892700120893,22.112000465393066,15.043846130371094,151.14058125278314,69.28342819213867,0.7315,2.8071,0.4723,130.6,16.18,-0.921,0.577,0.971,0.597
2009-10-20_thc,NONCAND,True,0.69,66.1,87.60000000000002,0.07,12.3,11.6,12.06025031885528,15.442584945452356,3.3823346265970766,22.611040115356445,8.595643997192383,109.26200114366534,63.31545066833496,1.0247,2.2025,2.3907,96.5,23.17,-0.553,nan,nan,nan
2009-10-22_tha,NONCAND,False,3.25,81.1,120.69999999999999,-4.05,7.4,5.9,9.061303085585836,11.691540345772049,2.630237260186213,42.848567962646484,33.21670913696289,108.10822610615492,72.44697570800781,1.0453,1.873,0.4429,93.6,44.79,-0.871,nan,nan,nan
2009-10-23_tha,NONCAND,False,2.42,67.7,141.10000000000002,-1.76,8.8,6.5,9.755762522206458,12.542529340450722,2.7867668182442635,15.269530296325684,7.006454944610596,120.20148438922331,336.64129638671875,1.9979,6.7808,1.5642,257.3,30.51,-0.822,nan,nan,nan
2009-11-11_thc,NONCAND,False,1.0,45.1,99.0,-0.25,13.2,29.7,11.365,14.544186550697637,3.1791865506976364,31.303645133972168,11.731869220733643,97.68985570719066,107.25077819824219,0.8144,1.9072,2.2066,104.6,25.49,-0.706,nan,nan,nan
2009-11-13_tha,NONCAND,True,3.13,74.7,3.0999999999999943,2.77,10.8,23.3,9.620376053955372,12.334024821709551,2.7136487677541794,76.36128234863281,18.927330017089844,118.75607671270609,106.77023696899414,0.9883,1.9047,2.6224,110.5,75.46,-0.235,nan,nan,nan
2009-12-01_thb,NONCAND,False,1.06,22.4,115.69999999999999,-0.13,17.9,22.1,11.28175675028235,14.413288418501597,3.1315316682192478,24.079208374023438,8.895773887634277,78.7943829001923,81.22467803955078,2.2345,0.9681,23.9649,81.4,53.8,-0.225,nan,nan,nan
2009-12-02_thb,NONCAND,False,1.28,38.0,139.10000000000002,-0.15,17.5,14.0,10.954779116404982,13.996854206954424,3.0420750905494423,27.8085880279541,9.093958377838135,92.6681823474107,73.00926971435547,1.9926,1.8676,6.5582,89.5,55.41,-0.275,nan,nan,nan
2010-10-11_tha,NONCAND,False,4.05,67.4,148.39999999999998,-8.87,6.7,5.4,8.219765091263753,10.631265463212289,2.411500371948536,59.024497985839844,39.78305435180664,135.15508486221887,71.14553833007812,0.5544,1.9835,0.1686,79.0,32.72,-0.801,nan,nan,nan
2010-10-11_thd,NONCAND,False,3.82,67.9,151.5,-9.86,6.4,7.2,8.178223379816654,10.591957321162509,2.413733941345855,60.18907928466797,40.6492919921875,131.02492162094563,70.82064819335938,0.5844,1.9584,0.1689,81.1,35.17,-0.756,nan,nan,nan
2010-10-11_the,NONCAND,False,4.04,67.5,148.2,-8.87,6.7,6.8,8.22284838815675,10.635253332379765,2.412404944223015,63.15442657470703,40.68252182006836,139.0034131196825,70.62101745605469,0.7081,1.8928,0.3661,100.6,44.72,-0.779,nan,nan,nan
2010-10-23_tha,NONCAND,True,3.57,53.6,42.19999999999999,2.24,9.3,11.3,9.42486602379789,12.10660491049256,2.6817388866946708,14.870622158050537,25.943950653076172,548.7654863493625,150.67305755615234,1.3104,1.2275,4.6112,588.6,19.49,-0.126,nan,nan,nan
2010-10-23_thd,NONCAND,True,3.71,57.3,57.89999999999998,1.38,9.3,12.0,9.362842623938715,12.026933454643265,2.6640908307045503,15.238928318023682,26.101542472839355,570.9088300375813,158.1262435913086,1.303,1.271,4.2362,582.0,19.86,-0.136,nan,nan,nan
2010-10-23_the,NONCAND,True,3.55,53.4,41.89999999999998,2.26,9.3,11.6,9.431095161106423,12.114606478274766,2.6835113171683425,15.697592735290527,25.74108123779297,560.1167554075537,152.21436309814453,1.3188,1.2687,4.7984,600.0,20.7,-0.268,nan,nan,nan
2011-11-22_tha,A,True,3.33,84.6,21.100000000000023,3.07,10.9,26.5,9.533763888577976,12.221750083756362,2.687986195178386,60.71404838562012,25.967561721801758,151.3808576806866,101.82209014892578,0.7345,1.4498,1.8143,140.1,44.6,-0.59,0.577,0.999,0.658
2011-11-22_thd,NONCAND,True,3.32,84.8,21.0,3.05,10.9,21.2,9.53571796978873,12.22425510616727,2.6885371363785406,62.91377830505371,29.642014503479004,146.4462490706733,78.92170333862305,0.8657,1.0402,3.3507,146.3,54.46,-0.615,nan,nan,nan
2011-11-22_the,NONCAND,False,3.15,89.0,165.8,-2.02,10.6,22.0,9.343160681420866,11.981131746769757,2.637971065348891,64.26167678833008,29.51148223876953,152.69338060020613,85.01564407348633,0.8869,0.9985,4.2803,157.2,56.99,-0.66,nan,nan,nan
2011-12-18_the,A,True,3.13,71.4,46.400000000000006,3.29,9.1,23.4,9.626117485065338,12.369200605671367,2.7430831206060287,100.7358627319336,26.22635841369629,102.81787907154597,92.96681213378906,0.5259,1.9984,0.7795,101.8,52.97,-0.869,1.0,0.988,0.483
2012-12-30_tha,NONCAND,True,3.24,65.3,76.69999999999999,1.88,6.3,19.6,9.560478218117321,12.38833469792471,2.827856479807389,49.288818359375,33.146690368652344,151.20338914151276,119.82952117919922,0.1953,2.0534,0.154,184.7,9.62,-0.807,nan,nan,nan
2013-01-19_tha,NONCAND,False,3.51,64.3,91.19999999999999,-0.04,14.7,13.0,9.419817524360708,12.046230829418882,2.6264133050581737,31.139747619628906,15.601922988891602,196.762158915022,100.16397857666016,1.1612,1.8986,4.665,271.6,36.16,-0.582,nan,nan,nan
2013-01-26_tha,NONCAND,False,3.3,55.1,91.80000000000001,-0.27,5.5,10.2,9.481994790283895,12.3481432155288,2.866148425244905,27.16517448425293,35.66056823730469,377.5012941567478,146.70372009277344,1.157,1.3261,1.8898,331.1,31.43,0.04,nan,nan,nan
2013-01-26_thd,A,True,4.59,71.2,58.19999999999999,1.56,7.9,10.2,9.06566420506879,11.678561194720315,2.6128969896515244,61.74476432800293,41.32322692871094,207.15369518007174,70.73318481445312,0.7332,1.4678,1.2551,241.2,45.27,-0.681,1.0,0.95,0.93
2013-01-26_the,NONCAND,False,4.22,64.0,90.0,0.0,7.1,11.1,9.165592481948327,11.836132675954918,2.670540194006591,54.73173141479492,33.3827018737793,248.73384889338033,88.58546447753906,0.8029,1.5677,2.2746,342.0,43.94,-0.471,nan,nan,nan
2014-02-16_tha,NONCAND,True,9.5,81.6,46.80000000000001,7.42,7.9,1.3,8.173803490145751,10.529649245105842,2.3558457549600913,65.29679107666016,64.08199310302734,181.891230777505,68.73101043701172,1.8346,1.288,1.6066,224.4,119.79,-0.724,nan,nan,nan
2014-02-19_the,NONCAND,True,5.01,63.6,67.30000000000001,2.87,6.1,5.7,8.959584578477534,11.622117408463623,2.6625328299860893,25.780141830444336,71.42081451416016,196.34726093997324,99.01853942871094,3.273,0.7069,4.8089,350.7,84.38,-0.11,nan,nan,nan
2014-02-27_the,NONCAND,False,5.77,52.2,146.89999999999998,-7.53,6.1,3.4,7.93294437207518,10.290389033052161,2.357444660976981,67.10943222045898,48.82246971130371,238.842989911886,111.26974105834961,1.8828,0.9613,7.6092,326.4,126.36,-0.095,nan,nan,nan
2014-02-28_tha,NONCAND,True,3.32,60.6,64.30000000000001,3.78,6.1,1.2,9.545804848737852,12.38254561230613,2.8367407635682778,29.970528602600098,40.02710151672363,218.16803606061154,77.71266174316406,0.2113,2.0747,0.135,366.4,6.33,-0.893,nan,nan,nan
2014-03-25_thd,NONCAND,False,4.57,68.0,146.3,-1.21,9.5,0.8,8.921599473654162,11.456594116341352,2.53499464268719,18.843734741210938,32.43492126464844,201.36211067635404,51.19325637817383,1.9101,1.2556,2.8057,321.2,35.99,-0.449,nan,nan,nan
2014-03-26_the,NONCAND,True,3.4,88.9,26.400000000000006,4.37,11.2,3.3,9.519869069674245,12.200443812000982,2.680574742326737,39.306095123291016,24.976716995239258,354.4055844689791,114.4056625366211,0.2844,2.8829,0.2905,389.6,11.18,-0.905,nan,nan,nan
2015-03-16_tha,NONCAND,True,7.8,53.6,7.5,8.45,7.8,22.8,8.432299210646697,10.865524795819102,2.433225585172405,71.09849166870117,35.64108657836914,186.4632014047546,201.16578674316406,1.0426,1.8695,1.1111,167.7,74.13,-0.637,nan,nan,nan
2015-03-17_tha,NONCAND,False,10.96,66.2,151.60000000000002,-15.23,4.9,22.0,6.448067902258247,8.442846584221117,1.9947786819628703,29.310440063476562,68.99175262451172,274.1736118904335,155.45631408691406,3.2655,1.6346,1.1444,383.2,95.71,0.111,nan,nan,nan
2015-03-17_the,NONCAND,False,5.8,71.1,158.2,-15.44,4.5,21.8,7.078249344266935,9.31314103537344,2.2348916911065038,37.974761962890625,72.5068359375,217.94781023227426,147.5869140625,0.9643,1.3969,0.4275,370.0,36.62,-0.247,nan,nan,nan
2015-04-14_the,NONCAND,False,8.61,47.4,171.7,-3.91,10.0,1.0,7.831891289632944,10.050274497421475,2.2183832077885306,37.3742733001709,13.190667629241943,101.91353871762861,290.22914123535156,9.5887,3.081,11.5376,122.9,358.37,0.134,nan,nan,nan
2015-04-15_tha,NONCAND,False,5.99,48.0,129.5,-1.29,8.9,1.8,8.552551334127825,10.993580787845554,2.4410294537177286,7.819778919219971,8.24897575378418,157.3882428087069,561.5199584960938,5.3166,6.1187,2.6689,413.8,41.57,0.274,nan,nan,nan
2015-04-15_thd,NONCAND,False,5.92,50.4,144.8,-0.61,11.6,1.4,8.642129383695236,11.071700667783215,2.429571284087979,28.7268009185791,25.79872417449951,459.2378873357004,135.00021362304688,1.3532,1.1687,8.6881,518.0,38.87,-0.083,nan,nan,nan
2015-04-15_the,NONCAND,False,5.92,45.0,136.10000000000002,-1.08,10.8,1.1,8.591871117029925,11.015972991003201,2.4241018739732763,39.99767303466797,28.94529914855957,508.77111029948753,159.4332275390625,1.5077,0.9795,15.5085,528.2,60.31,-0.06,nan,nan,nan
2015-04-16_tha,NONCAND,False,4.25,51.4,133.7,-2.83,8.9,1.6,8.837557342361194,11.359931886380577,2.5223745440193834,21.409173011779785,33.74270248413086,495.5257626361945,145.00210571289062,0.7719,1.6135,0.9808,420.1,16.52,-0.745,nan,nan,nan
2015-04-16_thd,NONCAND,False,4.86,76.5,142.0,-4.47,9.1,1.8,8.478538885901715,10.894605066415508,2.416066180513793,18.108196258544922,33.26457214355469,644.306218001863,162.0093765258789,1.5118,1.1376,4.4432,559.5,27.38,-0.584,nan,nan,nan
2015-04-16_the,NONCAND,False,4.46,57.7,131.0,-3.0,9.1,1.4,8.754236397903728,11.248866048345986,2.494629650442258,28.759530067443848,28.0387601852417,577.3997178506514,159.55596160888672,1.2085,1.3914,5.3981,577.2,34.76,-0.232,nan,nan,nan
2015-04-20_thd,NONCAND,True,7.64,62.3,68.0,1.84,10.7,3.1,8.39480590283622,10.763869404155756,2.369063501319536,74.66539764404297,45.131412506103516,188.72422582909465,98.80713653564453,1.2387,1.0461,3.1723,194.3,92.49,-0.389,nan,nan,nan
2015-04-20_the,NONCAND,True,7.64,48.5,48.400000000000006,2.27,17.8,2.6,8.39896147213694,10.730545413044865,2.331583940907926,88.76203918457031,38.14482116699219,200.8495441323982,106.37845611572266,1.8407,0.6378,27.2526,233.8,163.38,-0.429,nan,nan,nan
2015-04-21_tha,NONCAND,True,3.12,58.1,59.80000000000001,1.72,10.2,0.4,9.613498582539975,12.33344230199656,2.7199437194565856,13.057695388793945,17.147987365722656,406.22001791769867,118.0872573852539,1.1684,2.6608,1.1334,378.2,15.26,-0.613,nan,nan,nan
2015-05-01_tha,NONCAND,True,2.44,62.8,41.099999999999994,7.08,5.0,2.1,10.039259936845419,13.124824171827969,3.0855642349825505,22.743864059448242,40.44269943237305,170.839387098445,91.00101470947266,1.0064,1.4423,0.4537,168.5,22.89,-0.22,nan,nan,nan
2015-05-01_thd,NONCAND,True,2.32,61.1,39.900000000000006,6.88,5.1,6.8,10.113975471790907,13.216119575294876,3.102144103503969,23.943532943725586,32.214637756347656,206.10658997771486,121.81562805175781,0.9394,1.7977,0.4466,161.5,22.49,-0.309,nan,nan,nan
2015-05-01_the,NONCAND,True,2.43,63.3,40.69999999999999,7.09,5.1,5.9,10.048701034022809,13.130824255253867,3.0821232212310576,31.781304359436035,33.098960876464844,195.97977828004738,106.11323547363281,0.9666,1.8389,0.5448,161.2,30.72,-0.281,nan,nan,nan
2015-05-07_thd,NONCAND,True,2.25,69.8,75.60000000000002,0.62,9.2,9.2,10.089062422108428,12.960834079767377,2.8717716576589485,8.11397647857666,47.182212829589844,144.662516923394,64.76469421386719,1.7516,1.183,0.3677,211.9,14.21,-0.665,nan,nan,nan
2015-05-29_tha,REJ,True,2.48,73.0,46.099999999999994,5.07,6.5,8.8,9.991729309227498,12.93455964275885,2.9428303335313526,47.60057830810547,35.83543395996094,140.40153141434214,55.123382568359375,0.5291,1.738,0.3131,130.8,25.18,-0.935,2.588,0.986,0.348
2015-05-29_thd,A,True,2.48,74.3,46.30000000000001,5.11,6.5,14.8,9.99223909909083,12.93521957931122,2.94298048022039,44.87187194824219,37.040184020996094,118.01984826175114,50.15300369262695,0.5018,1.6668,0.2735,120.2,22.51,-0.887,1.0,0.933,0.635
2015-05-29_the,NONCAND,True,2.5,72.1,46.69999999999999,5.04,6.6,13.1,9.976216848506644,12.908619988224977,2.9324031397183337,58.927310943603516,34.472076416015625,140.32653123768273,56.161582946777344,0.2929,1.7892,0.3985,160.5,17.26,-0.934,nan,nan,nan
2015-06-08_tha,NONCAND,False,7.65,52.9,110.80000000000001,-3.96,5.5,11.0,7.9682964995653744,10.376895214206726,2.408598714641352,23.967647552490234,59.284732818603516,248.52185414748297,91.98249053955078,0.6217,1.7372,0.1202,263.4,14.9,-0.634,nan,nan,nan
2015-06-08_thd,NONCAND,False,7.86,53.4,110.80000000000001,-3.93,5.5,17.2,7.9382291382026935,10.337739309523053,2.39951017132036,27.470474243164062,61.14452934265137,249.92141175818503,89.11944961547852,1.6054,1.4074,0.5734,238.1,44.1,-0.435,nan,nan,nan
2015-06-08_the,NONCAND,False,7.62,52.8,110.30000000000001,-3.85,5.5,15.2,7.983569493430302,10.396784817580825,2.4132153241505225,35.05400848388672,60.09223556518555,258.90273437266944,89.81488037109375,1.2739,1.5301,0.5347,252.4,44.65,-0.668,nan,nan,nan
2015-06-23_tha,NONCAND,False,3.78,81.2,161.7,-19.3,3.0,15.0,7.109411776711908,9.716196094839608,2.6067843181277004,26.62921905517578,98.28418350219727,365.1752084363226,164.72660064697266,0.3066,0.9785,0.1067,307.1,8.16,-0.147,nan,nan,nan
2015-07-11_tha,NONCAND,False,10.23,56.3,108.69999999999999,-4.07,6.6,26.2,7.614212955963299,9.852330101732148,2.2381171457688493,52.83860206604004,46.63694953918457,366.86833790604976,162.75418090820312,1.3958,1.4093,2.6009,377.4,73.75,-0.416,nan,nan,nan
2015-07-11_thd,NONCAND,False,10.02,56.2,109.5,-4.5,6.4,29.8,7.595722252617909,9.83753587872002,2.241813626102111,57.163583755493164,42.48148727416992,374.7317883998229,187.2693634033203,1.2281,1.4811,2.7358,355.6,70.21,-0.45,nan,nan,nan
2015-07-11_the,NONCAND,False,10.01,56.3,109.60000000000002,-4.5,6.4,27.7,7.596871509203125,9.839024328733714,2.242152819530589,80.30001831054688,44.00831604003906,390.19471965646983,194.02456665039062,1.1597,1.6647,2.295,342.0,93.13,-0.602,nan,nan,nan
2016-05-27_tha,NONCAND,False,5.0,59.2,164.89999999999998,-2.06,23.6,16.8,8.707070347634664,11.114412087669303,2.4073417400346386,45.61827087402344,37.5812873840332,134.0374336065766,83.517333984375,1.6367,1.0825,3.0075,164.8,74.66,-0.59,nan,nan,nan
2016-06-10_tha,NONCAND,False,3.58,66.3,90.89999999999998,-0.13,6.9,18.6,9.381867187626323,12.124452397385415,2.742585209759092,32.46519470214844,37.81772994995117,221.1489132531447,138.2140350341797,0.4448,2.1352,0.1387,159.7,14.44,-0.859,nan,nan,nan
2016-06-11_tha,BORD,True,3.45,54.4,75.6,1.44,6.8,20.7,9.467277687244145,12.239691327486694,2.772413640242549,30.477426528930664,24.713024139404297,219.68408896493676,178.08758544921875,0.5548,3.2065,0.1748,166.2,16.91,-0.847,0.386,0.937,0.285
2016-06-12_tha,A,True,3.18,55.7,7.2999999999999545,1.72,7.7,19.3,9.585847623749363,12.355339506439718,2.769491882690355,22.968650817871094,22.678568840026855,306.5786594749976,141.17669677734375,0.7979,2.3959,0.7135,282.5,18.33,-0.696,0.759,0.95,0.649
2016-06-15_tha,NONCAND,True,4.48,45.5,51.69999999999999,3.09,9.1,19.8,9.113403381123824,11.710382176034615,2.5969787949107914,7.089870452880859,11.687026977539062,372.60864276477514,410.65655517578125,2.9667,3.6002,2.3786,491.3,21.03,0.162,nan,nan,nan
2016-06-19_tha,A,True,1.76,54.5,56.19999999999999,1.13,12.5,21.0,10.477682466522227,13.414367308239077,2.9366848417168505,7.363240480422974,12.242501258850098,403.06129483584704,142.97406005859375,0.4995,4.0849,0.2688,535.9,3.68,-0.693,1.0,0.991,0.496
2016-06-22_tha,NONCAND,False,2.55,75.5,99.89999999999998,-0.44,14.0,21.5,9.83616671040191,12.582514788089382,2.746348077687472,37.882728576660156,20.74861717224121,131.41857565485824,100.177490234375,1.4975,0.6973,16.0388,139.2,56.73,-0.528,nan,nan,nan
2016-06-23_tha,NONCAND,True,2.23,48.0,56.5,2.45,6.2,21.3,10.123788246757961,13.125106960960306,3.0013187142023448,26.463396072387695,23.286989212036133,169.997208104625,102.30976867675781,1.0825,2.2156,0.4401,101.3,28.65,-0.557,nan,nan,nan
2016-06-24_tha,NONCAND,False,2.15,75.8,94.10000000000002,-0.28,10.3,21.4,10.116713422913117,12.977481385962655,2.860767963049538,12.348103523254395,18.894561767578125,347.112797483992,100.44941711425781,1.0691,2.2646,0.8878,328.1,13.2,-0.696,nan,nan,nan
2016-06-24_thd,NONCAND,False,3.5,69.4,156.7,-3.85,11.4,24.3,8.983286735612,11.510717458118224,2.5274307225062245,5.4741504192352295,20.958231925964355,2166.834953607081,403.4801788330078,0.8061,1.8681,2.1478,1927.8,4.41,-0.229,nan,nan,nan
2016-06-25_tha,NONCAND,False,1.99,70.3,112.60000000000002,-1.08,10.5,21.9,10.135039030763963,12.998015192345417,2.8629761615814537,17.924779891967773,19.826852798461914,262.0703754091325,135.97816467285156,0.6466,2.0368,0.7535,267.9,11.59,-0.785,nan,nan,nan
2016-06-26_tha,NONCAND,False,2.21,59.2,145.5,-3.23,8.0,22.5,9.708367464174005,12.503315441164723,2.794947976990718,15.049981117248535,25.128368377685547,302.9011814513959,112.75370025634766,1.0606,1.4993,1.3746,297.3,15.96,-0.219,nan,nan,nan
2016-06-27_tha,NONCAND,False,2.14,59.6,138.8,-2.31,8.6,22.4,9.869981308102382,12.69432262343912,2.8243413153367385,14.441038131713867,22.238750457763672,297.93556220419714,130.83450317382812,1.1574,1.5897,1.6055,294.2,16.71,-0.198,nan,nan,nan
2016-06-28_tha,NONCAND,True,1.59,59.5,84.10000000000002,0.24,10.2,22.6,10.629405553999034,13.636779469949408,3.0073739159503745,10.393651008605957,16.989168167114258,265.87714303761766,136.53359985351562,1.2176,2.37,0.8717,280.4,12.66,-0.55,nan,nan,nan
2016-06-29_tha,NONCAND,True,1.35,77.9,73.60000000000002,0.97,9.5,22.7,10.905295413215688,14.003939947871089,3.098644534655401,26.314269065856934,14.394614696502686,182.4199588089864,86.67160415649414,0.1952,3.3595,0.1709,196.6,5.14,-0.832,nan,nan,nan
2016-07-01_thd,NONCAND,False,3.21,84.2,106.69999999999999,-1.46,9.1,24.5,9.382189180902133,12.05576186650399,2.673572685601858,7.471373796463013,25.283547401428223,1519.2605709136542,335.8392028808594,1.094,2.0,1.2815,1083.6,8.17,-0.63,nan,nan,nan
2016-07-03_the,A,True,2.96,45.2,82.5,0.53,8.8,23.1,9.677416163486367,12.44180307730856,2.764386913822193,37.82056427001953,25.491376876831055,277.32380270980667,130.52297973632812,0.8091,1.8107,1.4558,254.9,30.6,-0.536,1.0,0.849,0.338
2016-07-16_tha,NONCAND,True,1.6,70.3,82.10000000000002,0.13,13.7,23.7,10.623017853259496,13.591041726212204,2.968023872952708,9.871055603027344,15.523591041564941,365.9455546393278,131.4821014404297,0.0444,3.3833,0.0391,596.6,0.44,-0.79,nan,nan,nan
2016-07-17_tha,NONCAND,True,1.7,23.4,24.700000000000045,1.0,10.8,24.0,10.531332195790132,13.50193713634918,2.970604940559049,19.22562026977539,15.433547973632812,268.0429629110956,115.64398193359375,0.1899,3.0381,0.1483,277.8,3.65,-0.852,nan,nan,nan
2016-07-18_tha,NONCAND,True,1.69,24.3,21.100000000000023,1.14,11.0,24.3,10.542431229190681,13.513480030144418,2.971048800953737,19.639970779418945,13.865659236907959,272.9099518337036,120.55645370483398,0.1717,3.374,0.1421,289.5,3.37,-0.848,nan,nan,nan
2016-07-24_tha,NONCAND,True,5.04,87.9,86.39999999999998,0.56,7.6,23.7,8.928031373866776,11.51076122862427,2.5827298547574937,44.19696044921875,40.666236877441406,220.13706539277638,115.25765991210938,1.2811,1.478,1.1083,178.1,56.62,-0.138,nan,nan,nan
2016-07-24_the,NONCAND,False,4.7,85.4,102.89999999999998,-1.67,7.5,21.9,8.832824892779374,11.391399836721133,2.5585749439417587,53.36570358276367,35.30935287475586,238.23905757755722,147.01016235351562,1.1925,1.6439,1.6773,223.5,63.64,-0.773,nan,nan,nan
2016-07-25_tha,NONCAND,False,2.74,38.9,156.7,-0.58,23.5,23.9,9.715709997250318,12.402044435263248,2.6863344380129295,32.7137508392334,11.201837539672852,232.2378708039949,104.86201477050781,0.0394,5.8948,0.0583,486.6,1.29,-0.897,nan,nan,nan
2016-07-26_tha,NONCAND,False,2.73,43.5,104.60000000000002,-0.25,22.4,23.9,9.760772489053796,12.46103370698137,2.700261217927574,33.59754753112793,10.067028045654297,235.1469853971188,107.74110794067383,0.0387,6.5593,0.0583,480.1,1.3,-0.9,nan,nan,nan
